title,Price,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox
BMW 3 Series,3950,98000,2009,4.0,Petrol,Saloon,2.0L,Manual
BMW 3 Series,2700,105713,2005,6.0,Petrol,Convertible,2.0L,Manual
Peugeot 308 SW,9600,56984,2016,4.0,Diesel,Estate,1.6L,Manual
Vauxhall Astra,1595,93610,2001,2.0,Petrol,Hatchback,1.6L,Automatic
Mercedes-Benz C Class,3999,128000,2009,3.0,Petrol,Saloon,1.6L,Automatic
Dacia Sandero,5499,32000,2016,1.0,Petrol,Hatchback,1.2L,Manual
Daihatsu Terios,1495,110000,2007,3.0,Petrol,SUV,1.5L,Manual
Alfa Romeo Giulietta,3495,104000,2011,4.0,Petrol,Hatchback,1.4L,Manual
Ford Focus,3690,84000,2011,5.0,Petrol,Hatchback,1.6L,Manual
MINI Hatch,2495,69400,2009,2.0,Petrol,Hatchback,1.4L,Manual
BMW 3 Series,19800,69690,2019,1.0,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic
Mercedes-Benz A Class,15900,62402,2019,1.0,Petrol,Hatchback,1.3L,Automatic
Toyota Yaris,1850,73424,2004,2.0,Petrol,Hatchback,1.0L,Manual
Hyundai i30,4000,44591,2010,2.0,Diesel,Hatchback,1.6L,Automatic
Nissan Note,1993,94200,2009,3.0,Petrol,Hatchback,1.4L,Manual
Peugeot 308,2795,100000,2011,5.0,Petrol,Hatchback,1.6L,Manual
Vauxhall Corsa,4195,79000,2011,5.0,Petrol,Hatchback,1.4L,Automatic
BMW 3 Series,2495,94350,2007,4.0,Petrol,Saloon,2.0L,Manual
MINI Hatch,2495,63000,2005,2.0,Petrol,Hatchback,1.6L,Manual
Peugeot 207,1299,87000,2008,5.0,Diesel,Hatchback,1.6L,Manual
Mercedes-Benz A Class,15900,62402,2019,1.0,Petrol,Hatchback,1.3L,Automatic
Vauxhall Astra,2150,72000,2008,3.0,Petrol,Hatchback,1.4L,Manual
Saab 9-3,1995,108000,2007,2.0,Petrol,Saloon,1.8L,Automatic
Citroen C3 Picasso,2090,86255,2010,3.0,Diesel,MPV,1.6L,Manual
Volvo S40,1995,113000,2007,2.0,Petrol,Saloon,1.6L,Manual
BMW 5 Series,1500,162085,2007,3.0,Diesel,Saloon,3.0L,Automatic
Vauxhall Astra,4495,65550,2013,2.0,Petrol,Hatchback,1.4L,Manual
